Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,2,asymmetric,0.61,0.38366897910616804,-5.379070778627221
75% Corpus,2,asymmetric,0.9099999999999999,0.38902957831708,-5.299747343833854
75% Corpus,2,asymmetric,symmetric,0.3969423849156031,-5.375778730686118
75% Corpus,3,0.01,0.01,0.48597509277039935,-7.26860411276632
75% Corpus,3,0.01,0.31,0.44211961576154196,-5.418435682542622
75% Corpus,3,0.01,0.61,0.4427266033969091,-5.285847391422111
75% Corpus,3,0.01,0.9099999999999999,0.3854388852421384,-5.243701917198828
75% Corpus,3,0.01,symmetric,0.41510196036415614,-5.369280639138618
75% Corpus,3,0.31,0.01,0.39368541066543833,-7.340063995704418
75% Corpus,3,0.31,0.31,0.3637321268133995,-5.524701671629417
75% Corpus,3,0.31,0.61,0.3591645930788137,-5.419327612693717
75% Corpus,3,0.31,0.9099999999999999,0.4227796273366227,-5.3793240483941105
75% Corpus,3,0.31,symmetric,0.3637321268133995,-5.508974549973884
75% Corpus,3,0.61,0.01,0.33616364360947104,-7.323537076391825
75% Corpus,3,0.61,0.31,0.21285106028214218,-5.556746245157428
75% Corpus,3,0.61,0.61,0.19056881835952852,-5.448921522716197
75% Corpus,3,0.61,0.9099999999999999,0.22732175929112544,-5.400179601297146
75% Corpus,3,0.61,symmetric,0.2077173375208243,-5.542181923622039
75% Corpus,3,0.9099999999999999,0.01,0.34699103814227933,-7.341558048637902
75% Corpus,3,0.9099999999999999,0.31,0.20121149768932922,-5.6060397363290555
75% Corpus,3,0.9099999999999999,0.61,0.19526971596503476,-5.476089984178543
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.20770521522360444,-5.417089776294987
75% Corpus,3,0.9099999999999999,symmetric,0.20121149768932922,-5.591460178538067
75% Corpus,3,symmetric,0.01,0.37646538763915044,-7.277815637065143
75% Corpus,3,symmetric,0.31,0.37796822484284825,-5.531818873635152
75% Corpus,3,symmetric,0.61,0.3936024478100246,-5.419797186807888
75% Corpus,3,symmetric,0.9099999999999999,0.42690566420647674,-5.384107221190522
75% Corpus,3,symmetric,symmetric,0.3665240569741557,-5.516076368529622
75% Corpus,3,asymmetric,0.01,0.3082926989006301,-7.187695953722407
75% Corpus,3,asymmetric,0.31,0.4401374956645206,-5.531014741920844
75% Corpus,3,asymmetric,0.61,0.4396276618161137,-5.387987103040626
75% Corpus,3,asymmetric,0.9099999999999999,0.42549460557366836,-5.3727277568200735
75% Corpus,3,asymmetric,symmetric,0.4401374956645206,-5.511995314461429
75% Corpus,4,0.01,0.01,0.35379075475054234,-6.979134957113008
75% Corpus,4,0.01,0.31,0.33274689270591695,-5.361867816255587
75% Corpus,4,0.01,0.61,0.3456911302565107,-5.305796448413918
75% Corpus,4,0.01,0.9099999999999999,0.36270357539008136,-5.281167583721803
75% Corpus,4,0.01,symmetric,0.32677140410476874,-5.403369941044508
75% Corpus,4,0.31,0.01,0.24363009410075326,-7.152257892780188
75% Corpus,4,0.31,0.31,0.23451934391714396,-5.53538946625663
75% Corpus,4,0.31,0.61,0.23790376840707694,-5.447254623581723
75% Corpus,4,0.31,0.9099999999999999,0.2863368554900334,-5.4188136287578725
75% Corpus,4,0.31,symmetric,0.25122541972296086,-5.5929801794813905
75% Corpus,4,0.61,0.01,0.22270501697632888,-7.219132251855804
75% Corpus,4,0.61,0.31,0.21445488230489645,-5.583771941138477
75% Corpus,4,0.61,0.61,0.16907943418002477,-5.505316202233478
75% Corpus,4,0.61,0.9099999999999999,0.20897295895069867,-5.473000218955482
75% Corpus,4,0.61,symmetric,0.21603773397408801,-5.620363289990077
75% Corpus,4,0.9099999999999999,0.01,0.2419226701713491,-7.295769541728787
75% Corpus,4,0.9099999999999999,0.31,0.19272161568186727,-5.6594097308996245
75% Corpus,4,0.9099999999999999,0.61,0.19140555980485216,-5.55446504092798
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.21721501065650287,-5.520059769019121
75% Corpus,4,0.9099999999999999,symmetric,0.1945527670287764,-5.696175909623867
75% Corpus,4,symmetric,0.01,0.2878739011189778,-7.176871209973243
75% Corpus,4,symmetric,0.31,0.2894117140241148,-5.507744467839962
75% Corpus,4,symmetric,0.61,0.33327676053936994,-5.420932710170746
75% Corpus,4,symmetric,0.9099999999999999,0.33742341097585205,-5.393830850720406
