Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.61,0.9099999999999999,0.31889226502940804
75% Corpus,5,0.61,symmetric,0.3561581412842966
75% Corpus,5,0.9099999999999999,0.01,0.3821624520031177
75% Corpus,5,0.9099999999999999,0.31,0.3385703060875031
75% Corpus,5,0.9099999999999999,0.61,0.32002184245591403
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3237716743140925
75% Corpus,5,0.9099999999999999,symmetric,0.36796597277637844
75% Corpus,5,symmetric,0.01,0.27984567783244485
75% Corpus,5,symmetric,0.31,0.28671981864638385
75% Corpus,5,symmetric,0.61,0.2717243140914893
75% Corpus,5,symmetric,0.9099999999999999,0.32470431912558995
75% Corpus,5,symmetric,symmetric,0.2926185205630037
75% Corpus,5,asymmetric,0.01,0.3581849443763245
75% Corpus,5,asymmetric,0.31,0.33210758641917637
75% Corpus,5,asymmetric,0.61,0.3282442760285126
75% Corpus,5,asymmetric,0.9099999999999999,0.3017789731328428
75% Corpus,5,asymmetric,symmetric,0.32296429455891207
75% Corpus,6,0.01,0.01,0.2777233957234769
75% Corpus,6,0.01,0.31,0.2927529911746477
75% Corpus,6,0.01,0.61,0.3239321276097786
75% Corpus,6,0.01,0.9099999999999999,0.338412623298089
75% Corpus,6,0.01,symmetric,0.29156022351126193
75% Corpus,6,0.31,0.01,0.2867803391616874
75% Corpus,6,0.31,0.31,0.305924522499952
75% Corpus,6,0.31,0.61,0.30429475388059374
75% Corpus,6,0.31,0.9099999999999999,0.3409962512711253
75% Corpus,6,0.31,symmetric,0.28295732670582363
75% Corpus,6,0.61,0.01,0.3200742551170524
75% Corpus,6,0.61,0.31,0.3257223954942016
75% Corpus,6,0.61,0.61,0.32138738613310974
75% Corpus,6,0.61,0.9099999999999999,0.3285773633898349
75% Corpus,6,0.61,symmetric,0.30405253977149016
75% Corpus,6,0.9099999999999999,0.01,0.35137004306501485
75% Corpus,6,0.9099999999999999,0.31,0.3412228594755766
75% Corpus,6,0.9099999999999999,0.61,0.31264593704235993
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.32521316027839275
