Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Theme
Twitter,https://twitter.com/the_cardiomedic/statuses/1501350232801562626,the_cardiomedic,3/8/2022 7:12 pm,"Admiro especialmente a aquellas que se encuentran contra corriente en un ambiente no pocas veces dominado por el sexo opuesto y que, en ocasiones, tendiente a la discriminación irracional. La medicina debe encaminarse hacia una cultura de ciencia objetiva y olvidar al machismo.",Mention,Text Only,491,3,Mexico,
Twitter,https://twitter.com/castorbayron62/statuses/1501342436114714628,castorbayron62,3/8/2022 6:41 pm,"YoouurrMama @BPaniagua82 Q bueno q los crie asì

Bien fragilitos y ajenos a la realidad del mundo q viven

Imagino q cuando lleguen a adultos le llamaran cuando  hablen con personas d sexo no definido, o cuando alguien discrimine contra ellos

Diran q es nada pues los Reputrumpers no hablan del racismo",Mention,Text Only,460,0,"Danville, Georgia, United States",
Twitter,https://twitter.com/CNqueretaro/statuses/1501339978864996357,CNqueretaro,3/8/2022 6:31 pm,"#8M 💜 | Realiza Comité Universitario de Igualdad de Género y No Discriminación su 1ra. Sesión Ordinaria
 
• Se presentó una propuesta para la Reforma Universitaria en materia de género 👇🏽 https://t.co/0RrlGg27YE",Message,Link,11635,0,"Santa Rosa Jauregui, Querétaro, Mexico",
Twitter,https://twitter.com/SoyReginaCarter/statuses/1501339518879899651,SoyReginaCarter,3/8/2022 6:30 pm,Prieto_Senpai No veo mi dotación de degustacion 🙃🙃,Mention,Text Only,411,1,Mexico,
Instagram,https://www.instagram.com/p/Ca3H8KgrST7/,,3/8/2022 6:29 pm,"Con ellas todo, sin ellas nada.
.
.
.

#feminism #feminist #feminismos  #8demarzo #girlpower #igualdad #mujerlibre #mujereslibres
#niunamas #abajoelpatriarcado #racismo #acosocallejero #feminicidio #yositecreo
#8m #mujer #mujeres #mujerespoderosas #girl #girls #powergirls #mequiero",Message,Photo,0,15,,Género
Twitter,https://twitter.com/carlosalonsojua/statuses/1501335620802781184,carlosalonsojua,3/8/2022 6:14 pm,"Así de sencillo... #DerechosHumanos para todas las mujeres desplazadas, refugiadas y #migrantes  #venezolanas 

#HumanRights #DDHH #refugees #Venezuela #UkraineRussianWar #UNHCR #ACNUR #Refugiados https://t.co/uVcTJ4i5B4",Message,Photo,853,1,"Danville, Georgia, United States","Género, Migración"
Instagram,https://www.instagram.com/p/Ca3ErU2rEkL/,,3/8/2022 6:00 pm,"Aún hoy la discriminación sexista y racial es un problema, y el ámbito laboral a nivel legal no es la excepción.
En esta edición, LexLatin sirvió de foro para darle eco a la voz de 3 profesionales de diferentes edades, que están moviendo las estructuras sociales. 

Más detalles en nuestro site, enlace enlace en la bio. 

#discriminacion #sexismo #racismo #entrevistas #mujeres #diadelamujer #liderazgoenfemenino",Message,Photo,0,3,,Género
Instagram,https://www.instagram.com/p/Ca3ErHhv8sS/,,3/8/2022 6:00 pm,"Martes 8 marzo. 
Día de pandemia 717.
13 días de guerra. 

El 1 de diciembre de 1955, en Estados Unidos, una mujer negra,  sube al autobús para volver a casa después del trabajo. Toma asiento y se niega a levantarse cuando el conductor le da la orden de que se lo ceda al hombre blanco que acaba de entrar.
67 años pasaron de aquel ""NO"" que supuso un gran ""SI"" para la raza negra. 
Un gesto que parece insignificante, pero que tuvo amplias repercusiones en la lucha por la igualdad racial.

Hoy pregunto ¿como sociedad cuanto hemos mejorado?
La violencia dentro de las familias creció tanto que ya los hechos muestran sangre.

Entonces la sociedad y sus instituciones ¿protejen a la mujer, de la violencia puertas adentro?
#historias #relatos #violencia #mujer #deportes #running #bike #bici #racismo #8m",Message,Photo,0,5,,Género
Twitter,https://twitter.com/TreceCostaRica/statuses/1501331569331474435,TreceCostaRica,3/8/2022 5:58 pm,"🧡💛💚 ¿Qué le diría la ilustradora y autora @vickyrilustra a la Vicky de 8 años para motivarla a seguir su camino por la vida? 🎨🖍🖌

En conmemoración del Día Internacional de la Mujer, por una participación activa, plena, libre de violencia y discriminación. https://t.co/O6n587fKQK",Message,Video,51557,4,Costa Rica,Género
Twitter,https://twitter.com/Tadeus_Politik/statuses/1501328969991401475,Tadeus_Politik,3/8/2022 5:48 pm,"Histórica decisión del Consejo General del @IEEG , hoy se aprobó por mayoría dos acciones afirmativas para resarcir la discriminación histórica que han sufrido grupos en situación de discriminación en Guanajuato (abro hilo)",Message,Text Only,1660,9,"Guanajuato, Guanajuato, Mexico",
