Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/_damianrangel/statuses/1531801115909664769,_damianrangel,5/31/2022 8:53 pm,A nada de disfrutar @distorsionmex en Teatro Xola Julio Prieto https://t.co/rmebNvn9Xm,Message,Link,37,0,"Benito Juarez, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/ElGuaposaurio/statuses/1531796329831227393,ElGuaposaurio,5/31/2022 8:34 pm,"Esa ya había tenido pedos por racista, que no?",Message,Text Only,8202,0,"Cuauhtemoc, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/re_golfo/statuses/1531796236218642432,re_golfo,5/31/2022 8:34 pm,"AKA_Gabo Éso y más se merece, él no es un resentido social como TÚ sabrás. https://t.co/8wA7YuyDUG",Mention,Photo,580,0,Mexico,0,0,0,0,Backlash
Twitter,https://twitter.com/prjass1970/statuses/1531796040277446656,prjass1970,5/31/2022 8:33 pm,"BELLATRIX_RAZO como a hay que, me pregunto yo ???
@diegosinhue | QT: Edil priista de San Miguel Allende impide vender a ambulantes por “prietas” y “feas”
https://t.co/21SFNr4i55 https://t.co/gGFrkcZtMg",Mention,Text Only,227,0,"San Francisco del Rincon, Guanajuato, Mexico",0,0,0,0,
Twitter,https://twitter.com/_damianrangel/statuses/1531793343298125824,_damianrangel,5/31/2022 8:22 pm,Acaba de publicar una foto en Teatro Xola Julio Prieto https://t.co/6qQ3bsZaH7,Message,Link,37,0,"Benito Juarez, Mexico City, Mexico",0,0,0,0,
Instagram,https://www.instagram.com/p/CePc2A2No-X/,,5/31/2022 7:47 pm,"La violencia que se ejerce por nuestros cuerpos es real y nos destruye a diario. 

Si queremos un mundo justo, es necesario hablar sobre esto. 

#DiversasLatam #DiversasPR #DiversidadCorporal #DiversidadFuncional #Racismo #Transfobia #bodyshaming",Message,Photo,0,10,,10,0,0,0,
Twitter,https://twitter.com/Carlos_OcaPa/statuses/1531783059162517504,Carlos_OcaPa,5/31/2022 7:41 pm,fernandeznorona Espectacular respuesta a la nefasta @LillyTellez Total administración | QT: Espectacular la respuesta de @fernandeznorona frente a los insultos clasistas de la oposición. https://t.co/QzQSu1aubH,Mention,Text Only,30,0,"Motozintla, Chiapas, Mexico",0,0,0,0,
Twitter,https://twitter.com/Jess44099828/statuses/1531782316384722947,Jess44099828,5/31/2022 7:38 pm,LillyTellez Está clasista rasista traidora no sabe hacer otra cosa que ridículo más ridículo ni una propuesta solo no no no no no opción totalmente derrotada,Mention,Text Only,1109,0,"Miguel Hidalgo, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/The_Worki/statuses/1531774777785991169,The_Worki,5/31/2022 7:09 pm,"Inclusion forzada? Tal vez, Pero prefiero verla antes de criticar. En la primera versión Disney la hizo rubia, ahora es afrodescendiente, bien pudo ser una pelirroja y no habría tanta polémica, la realidad es que estás cosas sacan al racista que muchos llevan dentro. #Pinocho | QT: #Pinocho en un live-action DE VERDAD 🌟
Revive la magia de un clásico en este estreno del #DisneyPlusDay. 

#Pinocho, Película Original, estreno 8 de septiembre en #DisneyPlus. https://t.co/L6wkXe1fwo",Message,Text Only,38,0,"Cuautitlan Izcalli, México, Mexico",0,0,0,0,
Twitter,https://twitter.com/FernandoRabeloH/statuses/1531774660727263232,FernandoRabeloH,5/31/2022 7:08 pm,"migue_vargas @SChecoPerez @FelipeCalderon Solo envidiosos, resentidos sociales, estupidos fracasados piensan en establecer una campaña en contra de @SChecoPerez, él ha sido exitoso y tiene toooodo el derecho a disfrutar de sus éxitos. Los envidiosos que CHSM",Mention,Text Only,813,0,"Villahermosa, Tabasco, Mexico",0,0,0,0,Backlash
Twitter,https://twitter.com/pinello13/statuses/1531772338223697920,pinello13,5/31/2022 6:59 pm,"Que horror la Sirena esa, puro Jalisco | QT: BTW este idiota se está defendiendo en sus space pendejo y diciendo cosas aún peores.

Perdón imbecil pero que te digan “musculoca” no es una discriminación, racista de mierda.",Message,Text Only,723,0,"Miguel Hidalgo, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/hayesdx/statuses/1531768768392744962,hayesdx,5/31/2022 6:45 pm,Y luego dicen que no es naco https://t.co/VyV2xkL46s,Message,Photo,220,0,"Tlalpan, Mexico City, Mexico",0,0,0,0,Odio
Twitter,https://twitter.com/Luis_HyCastillo/statuses/1531765507765850113,Luis_HyCastillo,5/31/2022 6:32 pm,"jvaimetal @denirocaine @delfanparaelfan @starwars Racismo, racismo, racismo! Ya todo es racismo. https://t.co/rgmCzQBeTw",Mention,Photo,100,0,"Toluca, México, Mexico",0,0,0,0,
