Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Instagram,https://www.instagram.com/p/CZ14kGKNvAW/,,2/11/2022 10:24 am,"Serie Calendario: primera evaluación.

La nueva serie juvenil televisiva llega casi a la mitad de su primera temporada, con buena aceptación del público.

Calendario nos muestra cada semana en 13 capítulos un año escolar del grupo 9no 3 de una secundaria básica en la localidad habanera de Los Pinos.

Calendario nos muestra cada semana en 13 capítulos un año escolar del grupo 9no 3 de una secundaria básica en la localidad habanera de Los Pinos.

Siga el texto en el link de la Bio.

Por yoelrodrigueztejeda

#cuba
#tvcubana #seriescubanas #racismo #homofobia #bullying #adicciones #trabajoinfantil 

OnCubaNews.com",Message,Photo,0,112,,,,111,0,1,0,
Twitter,https://twitter.com/TezoRomero/statuses/1492156749280858116,TezoRomero,2/11/2022 10:21 am,"FernandoCanek @ChumelTorres Así es, empero, no se deben de utilizar para a golpear, genio. Cuidado con solapar a racistas cobardes, genio.",Mention,Text Only,1284,1,"Ciudad Lopez Mateos, México, Mexico",,,0,0,1,0,
Twitter,https://twitter.com/mike90317/statuses/1492153829537767425,mike90317,2/11/2022 10:09 am,"No solo whitedurans, otros igualados y agrandados acomplejados también. https://t.co/kaKfJv7suz | QT: Whitedurans descubren que Honduras no es los restaurantes finos de la capital o SPS, ni las calles pavimentadas de sus residenciales, mucho menos encontrar gente blanca en todos lados. Honduras es donde más del 70% vive en pobreza, esa es la realidad, aunque duela y les de pena.",Message,Link,463,0,Honduras,Men,,0,0,0,0,
Twitter,https://twitter.com/Piromana696_/statuses/1492153728304041987,Piromana696_,2/11/2022 10:09 am,Fan__2758 Y ya somos clasistas si no nos gusta 🙈,Mention,Text Only,33937,11,"Merida, Yucatán, Mexico",,,7,0,2,2,
Twitter,https://twitter.com/tiopatolcg4/statuses/1492142920983588865,tiopatolcg4,2/11/2022 9:26 am,"beltrandelrio @la_grenitas Alguien alguna vez dijo, ""quien no esté conmigo, está contra mí"" algo así maneja el ""resentido"" neoliberal inquilino incómodo de palacio Nacional, y se queja de los vividores del presupuesto...",Mention,Text Only,4,0,"Iztapalapa, Mexico City, Mexico",Men,,0,0,0,0,Backlash
Twitter,https://twitter.com/LajosSzaszdi/statuses/1492141918544875526,LajosSzaszdi,2/11/2022 9:22 am,"Qué se puede esperar de un Castillo comunista e ignorante. El marxismo es el opio de los ignorantes, de los que no razonan y de los resentidos sociales.",Message,Text Only,1210,0,"San Juan, Puerto Rico, United States",,,0,0,0,0,Backlash
Twitter,https://twitter.com/senorfulano/statuses/1492139939974332421,senorfulano,2/11/2022 9:14 am,"luis_gj O sea que si odio la misoginia soy clasista? 
🤔 https://t.co/HMjVDUPor4",Mention,Photo,124,1,"Ciudad Valles, San Luis Potosí, Mexico",,,1,0,0,0,
Twitter,https://twitter.com/DiputadaOliviaE/statuses/1492134920097087490,DiputadaOliviaE,2/11/2022 8:54 am,"Ya estamos rumbo a #CdJuárez✈️, dónde acompañaremos a nuestra compañera @terrazas_prieto en el Foro para la #ReformaEléctrica⚡🔌💡 dónde los juarences conocerán los beneficios de esta reforma.

@Frente_NREmx 
#LaReformaElectricaVa https://t.co/JH1ehIfcIO",Message,Photo,422,9,"Venustiano Carranza, Mexico City, Mexico",Women,,4,0,3,2,
Twitter,https://twitter.com/Jo_ran_/statuses/1492134569251901441,Jo_ran_,2/11/2022 8:52 am,"""tono natural""
Es increíble ver la oferta la oferta tan grande de productos aclaradores de piel que hay en cualquier supermercado. Lo bueno es que no hay problemas de racismo  sistémico-social **sarcasmo**. https://t.co/YNRXig4BKd",Message,Photo,1883,4,Mexico,Women,,3,0,0,1,
Twitter,https://twitter.com/RosarioMaciasMx/statuses/1492132557600825346,RosarioMaciasMx,2/11/2022 8:44 am,"📌  Hoy se celebra el Día Internacional de la Mujer y la Niña en la Ciencia con el objetivo de erradicar la discriminación y la desigualdad de género dentro de este sector. 

Apoyemos a nuestras niñas y adolescentes para que elijan desempeñarse en la ciencia como en otros campos. https://t.co/mpTIEQ5fkW",Message,Photo,246,3,"Magdalena Contreras, Mexico City, Mexico",Women,,3,0,0,0,Género
Instagram,https://www.instagram.com/p/CZ1r17lsbK4/,,2/11/2022 8:33 am,"REQUISITOS:

- Dar me gusta y guardar este post
- Seguir a claveintelectual
- Compartir en una historia diciendo por qué quieres este libro.

¡Suerte a tod@s!

#libro #libros #claveintelectual  #reseña #politica #sociologia  #foucault  #cultura #ensayo #bordieu #feminismo #racismo #manifestacion 
#psicologia  #cultura  #guia #arte #prejuicio #poder #intelectual #izquierda #totalitarismo #posmoderno 
#identidad #cárcel #prisión #esencial #libertad #sesgo #transversal",Message,Photo,0,237,,,,166,0,71,0,
Twitter,https://twitter.com/CPierrend/statuses/1492129476544811012,CPierrend,2/11/2022 8:32 am,"eldiarionegro RACISTA
ELITISTA
TOMEN CAVIARES Y COJUDIGNOS.",Mention,Text Only,220,0,"Plantation, Florida, United States",Men,,0,0,0,0,
Twitter,https://twitter.com/CPierrend/statuses/1492112537655169030,CPierrend,2/11/2022 7:25 am,"Politica_LR LES QUITARON LA MAMADERA.
Y CAMBIARON EL DISCURSO DE GOLPISTAS, ELITISTAS, RACISTAS ETC.",Mention,Text Only,220,3,"Plantation, Florida, United States",Men,,3,0,0,0,
Twitter,https://twitter.com/GabrielMesaMed1/statuses/1492098369698869249,GabrielMesaMed1,2/11/2022 6:29 am,"La sola imagen de un sujeto con un puro en la «trompa» grita de la clase de tipejo que es, donde no vas a esperar mucho de alguien arrogante, prepotente, discriminatorio de quien tiene un color de piel oscura, habla su lengua materna o cualquier cosa que sea. https://t.co/mkUiRfILH8 | QT: Que triste vivir en un país donde un diputado disfruta ver como matan a un toro. @g_quadri https://t.co/MG2o6ffZTQ",Message,Link,108,0,"Iztacalco, Mexico City, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/jefeact/statuses/1492085420141776899,jefeact,2/11/2022 5:37 am,Milenio Yo le saco a los comentarios de racismo o clasismo 😕,Mention,Text Only,223,0,"Medina, Guanajuato, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/Afromedios/statuses/1492051160538169386,Afromedios,2/11/2022 3:21 am,PoliciaPasto No entendemos porque los tratos Racista por parte de sus agente de su departamento de policía tratan a ciudadanos Aro Colombianos como “negros” donde están los derechos que habla la @CConstitucional hasta cuado el abuso  Señores @PoliciaColombia https://t.co/JJbIYm4JUA,Mention,Video,6444,0,"Washington, Washington, D.C., United States",,,0,0,0,0,Perfilamiento racial
