Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.31,0.61,0.2966745317949398
75% Corpus,3,0.31,0.9099999999999999,0.3142173220756937
75% Corpus,3,0.31,symmetric,0.28099810523910684
75% Corpus,3,0.61,0.01,0.29024755096768745
75% Corpus,3,0.61,0.31,0.30005143348403357
75% Corpus,3,0.61,0.61,0.2950876557236353
75% Corpus,3,0.61,0.9099999999999999,0.3210900583248941
75% Corpus,3,0.61,symmetric,0.3000514334840336
75% Corpus,3,0.9099999999999999,0.01,0.2736220559782451
75% Corpus,3,0.9099999999999999,0.31,0.30142430282923116
75% Corpus,3,0.9099999999999999,0.61,0.28936709854544285
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.2893790169597315
75% Corpus,3,0.9099999999999999,symmetric,0.30436432829444643
75% Corpus,3,symmetric,0.01,0.2922275090339447
75% Corpus,3,symmetric,0.31,0.2858126406614047
75% Corpus,3,symmetric,0.61,0.2966745317949398
75% Corpus,3,symmetric,0.9099999999999999,0.3067707870326497
75% Corpus,3,symmetric,symmetric,0.2832784743098688
75% Corpus,3,asymmetric,0.01,0.2892673607644636
75% Corpus,3,asymmetric,0.31,0.3167204517139423
75% Corpus,3,asymmetric,0.61,0.31903192295815813
75% Corpus,3,asymmetric,0.9099999999999999,0.34896735210356583
75% Corpus,3,asymmetric,symmetric,0.2944990719649687
75% Corpus,4,0.01,0.01,0.31877081895645093
75% Corpus,4,0.01,0.31,0.31961461603141506
75% Corpus,4,0.01,0.61,0.3211062228937366
75% Corpus,4,0.01,0.9099999999999999,0.3024406104394791
75% Corpus,4,0.01,symmetric,0.31212213749797385
75% Corpus,4,0.31,0.01,0.3331142178820237
75% Corpus,4,0.31,0.31,0.3253623664038289
75% Corpus,4,0.31,0.61,0.3274336819256418
75% Corpus,4,0.31,0.9099999999999999,0.352039720255649
75% Corpus,4,0.31,symmetric,0.3309536718770319
75% Corpus,4,0.61,0.01,0.3437581474740901
75% Corpus,4,0.61,0.31,0.3626057418335893
75% Corpus,4,0.61,0.61,0.3454312877855605
75% Corpus,4,0.61,0.9099999999999999,0.3695824227934661
75% Corpus,4,0.61,symmetric,0.35143032341545033
75% Corpus,4,0.9099999999999999,0.01,0.3123629903917421
75% Corpus,4,0.9099999999999999,0.31,0.35024418238461225
75% Corpus,4,0.9099999999999999,0.61,0.3111020430353105
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3560083254820699
75% Corpus,4,0.9099999999999999,symmetric,0.3270656992769454
75% Corpus,4,symmetric,0.01,0.3282458115053746
75% Corpus,4,symmetric,0.31,0.3287709945291756
75% Corpus,4,symmetric,0.61,0.3426160922397025
75% Corpus,4,symmetric,0.9099999999999999,0.35011415486769515
75% Corpus,4,symmetric,symmetric,0.32979021600515207
75% Corpus,4,asymmetric,0.01,0.39175417066071405
75% Corpus,4,asymmetric,0.31,0.31864648107712357
75% Corpus,4,asymmetric,0.61,0.39292883474862417
75% Corpus,4,asymmetric,0.9099999999999999,0.5595733633350986
75% Corpus,4,asymmetric,symmetric,0.32915479949265747
75% Corpus,5,0.01,0.01,0.31708476317195794
75% Corpus,5,0.01,0.31,0.33473481928985654
75% Corpus,5,0.01,0.61,0.32658947000319455
75% Corpus,5,0.01,0.9099999999999999,0.3424936262813315
75% Corpus,5,0.01,symmetric,0.3314725461278716
75% Corpus,5,0.31,0.01,0.3619471019593595
75% Corpus,5,0.31,0.31,0.3333448032447195
75% Corpus,5,0.31,0.61,0.3432466346826434
75% Corpus,5,0.31,0.9099999999999999,0.311196362561207
75% Corpus,5,0.31,symmetric,0.3276098318319303
75% Corpus,5,0.61,0.01,0.3589504777471394
75% Corpus,5,0.61,0.31,0.3479702534443758
75% Corpus,5,0.61,0.61,0.33284296128036744
75% Corpus,5,0.61,0.9099999999999999,0.36635085507988013
75% Corpus,5,0.61,symmetric,0.3291283475191028
75% Corpus,5,0.9099999999999999,0.01,0.347428941526715
75% Corpus,5,0.9099999999999999,0.31,0.3133395243023448
75% Corpus,5,0.9099999999999999,0.61,0.3400010638658812
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.35534890213311837
75% Corpus,5,0.9099999999999999,symmetric,0.3362876918868567
75% Corpus,5,symmetric,0.01,0.34707827438922634
75% Corpus,5,symmetric,0.31,0.32997160446549245
75% Corpus,5,symmetric,0.61,0.34593887471622625
75% Corpus,5,symmetric,0.9099999999999999,0.32310770010204914
75% Corpus,5,symmetric,symmetric,0.35881637450233195
75% Corpus,5,asymmetric,0.01,0.3233443867256655
75% Corpus,5,asymmetric,0.31,0.3326330279674571
75% Corpus,5,asymmetric,0.61,0.42170845201424434
75% Corpus,5,asymmetric,0.9099999999999999,0.406220777154353
75% Corpus,5,asymmetric,symmetric,0.3266947295649307
75% Corpus,6,0.01,0.01,0.35508512423046706
75% Corpus,6,0.01,0.31,0.36064958270396247
75% Corpus,6,0.01,0.61,0.3825838268827975
75% Corpus,6,0.01,0.9099999999999999,0.37090167202427615
75% Corpus,6,0.01,symmetric,0.3643782502591417
75% Corpus,6,0.31,0.01,0.35923727027042945
75% Corpus,6,0.31,0.31,0.38065927296787977
