Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.01,symmetric,0.24612803006986037
75% Corpus,3,0.31,0.01,0.2833766476536836
75% Corpus,3,0.31,0.31,0.2894061598706394
75% Corpus,3,0.31,0.61,0.2756009764599801
75% Corpus,3,0.31,0.9099999999999999,0.27168299528233236
75% Corpus,3,0.31,symmetric,0.25787741010846604
75% Corpus,3,0.61,0.01,0.27423824319163587
75% Corpus,3,0.61,0.31,0.2803560294577249
75% Corpus,3,0.61,0.61,0.2810984885862879
75% Corpus,3,0.61,0.9099999999999999,0.2779015884035482
75% Corpus,3,0.61,symmetric,0.27046533409397727
75% Corpus,3,0.9099999999999999,0.01,0.2748738953447236
75% Corpus,3,0.9099999999999999,0.31,0.29526704509927804
75% Corpus,3,0.9099999999999999,0.61,0.2790047035485389
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.2636485520456308
75% Corpus,3,0.9099999999999999,symmetric,0.276794203742091
75% Corpus,3,symmetric,0.01,0.2549130322515068
75% Corpus,3,symmetric,0.31,0.27321288216834494
75% Corpus,3,symmetric,0.61,0.27971114662496427
75% Corpus,3,symmetric,0.9099999999999999,0.27381036562949035
75% Corpus,3,symmetric,symmetric,0.2644684917503157
75% Corpus,3,asymmetric,0.01,0.26372270218847066
75% Corpus,3,asymmetric,0.31,0.30772273641031805
75% Corpus,3,asymmetric,0.61,0.3367213799406275
75% Corpus,3,asymmetric,0.9099999999999999,0.3073631600604861
75% Corpus,3,asymmetric,symmetric,0.3276955318645422
75% Corpus,4,0.01,0.01,0.2765248986335297
75% Corpus,4,0.01,0.31,0.27316304512865597
75% Corpus,4,0.01,0.61,0.2617873493912475
75% Corpus,4,0.01,0.9099999999999999,0.2917106957353138
75% Corpus,4,0.01,symmetric,0.3426560024698456
75% Corpus,4,0.31,0.01,0.29521543822761265
75% Corpus,4,0.31,0.31,0.28907403537443915
75% Corpus,4,0.31,0.61,0.26900614712293647
75% Corpus,4,0.31,0.9099999999999999,0.2665411208380646
75% Corpus,4,0.31,symmetric,0.2908683752337745
75% Corpus,4,0.61,0.01,0.2775009224955905
75% Corpus,4,0.61,0.31,0.2850209578482256
75% Corpus,4,0.61,0.61,0.27720425831765055
75% Corpus,4,0.61,0.9099999999999999,0.3106695822326919
75% Corpus,4,0.61,symmetric,0.29787329876425583
75% Corpus,4,0.9099999999999999,0.01,0.28205692694167483
75% Corpus,4,0.9099999999999999,0.31,0.29316633315784246
75% Corpus,4,0.9099999999999999,0.61,0.2952939441564842
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.26933303022303634
75% Corpus,4,0.9099999999999999,symmetric,0.29316633315784246
75% Corpus,4,symmetric,0.01,0.29216693048134795
75% Corpus,4,symmetric,0.31,0.2868726428003761
75% Corpus,4,symmetric,0.61,0.2804146039007076
75% Corpus,4,symmetric,0.9099999999999999,0.2763865136689902
75% Corpus,4,symmetric,symmetric,0.27494154017171135
75% Corpus,4,asymmetric,0.01,0.2814845335219955
75% Corpus,4,asymmetric,0.31,0.34921971924260087
75% Corpus,4,asymmetric,0.61,0.3352950033111306
75% Corpus,4,asymmetric,0.9099999999999999,0.4175212011409826
75% Corpus,4,asymmetric,symmetric,0.3156823861401957
75% Corpus,5,0.01,0.01,0.2684599837834542
75% Corpus,5,0.01,0.31,0.2693390896246694
75% Corpus,5,0.01,0.61,0.26662650640521884
75% Corpus,5,0.01,0.9099999999999999,0.2466783616908085
75% Corpus,5,0.01,symmetric,0.2631363205931482
75% Corpus,5,0.31,0.01,0.27222923533368293
75% Corpus,5,0.31,0.31,0.27428039711426955
75% Corpus,5,0.31,0.61,0.27472244231607873
75% Corpus,5,0.31,0.9099999999999999,0.2644210830572976
75% Corpus,5,0.31,symmetric,0.27849317504054005
75% Corpus,5,0.61,0.01,0.2948446563001322
75% Corpus,5,0.61,0.31,0.29461358896380074
75% Corpus,5,0.61,0.61,0.2837775515315714
75% Corpus,5,0.61,0.9099999999999999,0.26683863898647847
75% Corpus,5,0.61,symmetric,0.28471295849758305
75% Corpus,5,0.9099999999999999,0.01,0.2845210196964734
75% Corpus,5,0.9099999999999999,0.31,0.29919868711690584
75% Corpus,5,0.9099999999999999,0.61,0.28389633685320426
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.2645507830013082
75% Corpus,5,0.9099999999999999,symmetric,0.27487656285465906
75% Corpus,5,symmetric,0.01,0.283974622869098
