Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,symmetric,0.325535421571293
75% Corpus,4,0.31,0.01,0.39763308803028097
75% Corpus,4,0.31,0.31,0.34859998828566574
75% Corpus,4,0.31,0.61,0.3447707108918605
75% Corpus,4,0.31,0.9099999999999999,0.34364839228099003
75% Corpus,4,0.31,symmetric,0.3628074434516765
75% Corpus,4,0.61,0.01,0.41724801201754746
75% Corpus,4,0.61,0.31,0.3994839605729876
75% Corpus,4,0.61,0.61,0.36420917130586344
75% Corpus,4,0.61,0.9099999999999999,0.33844757659449076
75% Corpus,4,0.61,symmetric,0.3975855339013613
75% Corpus,4,0.9099999999999999,0.01,0.39982578963708043
75% Corpus,4,0.9099999999999999,0.31,0.41359762158921787
75% Corpus,4,0.9099999999999999,0.61,0.38944472024957894
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3921872483524133
75% Corpus,4,0.9099999999999999,symmetric,0.4218527247288063
75% Corpus,4,symmetric,0.01,0.37256508249942377
75% Corpus,4,symmetric,0.31,0.3528716481563516
75% Corpus,4,symmetric,0.61,0.3163464723037441
75% Corpus,4,symmetric,0.9099999999999999,0.3421869489104747
75% Corpus,4,symmetric,symmetric,0.3403489787837019
75% Corpus,4,asymmetric,0.01,0.28991095679152473
75% Corpus,4,asymmetric,0.31,0.3039309670891821
75% Corpus,4,asymmetric,0.61,0.3677556039070857
75% Corpus,4,asymmetric,0.9099999999999999,0.3930338370159963
75% Corpus,4,asymmetric,symmetric,0.31539976678271425
75% Corpus,5,0.01,0.01,0.3890201652191868
75% Corpus,5,0.01,0.31,0.3523756821117519
75% Corpus,5,0.01,0.61,0.3496015717231552
75% Corpus,5,0.01,0.9099999999999999,0.35481568397014873
75% Corpus,5,0.01,symmetric,0.3415076674599818
75% Corpus,5,0.31,0.01,0.401811389326648
75% Corpus,5,0.31,0.31,0.39493574600802034
75% Corpus,5,0.31,0.61,0.3661851764447939
75% Corpus,5,0.31,0.9099999999999999,0.3632251935487962
75% Corpus,5,0.31,symmetric,0.402826434050663
75% Corpus,5,0.61,0.01,0.40044010563083565
75% Corpus,5,0.61,0.31,0.40852735762408326
75% Corpus,5,0.61,0.61,0.40255845881993874
75% Corpus,5,0.61,0.9099999999999999,0.38446170930686796
75% Corpus,5,0.61,symmetric,0.39978461111761715
75% Corpus,5,0.9099999999999999,0.01,0.40076015286799277
75% Corpus,5,0.9099999999999999,0.31,0.3760264608023683
75% Corpus,5,0.9099999999999999,0.61,0.39273389697370165
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3789603527651827
75% Corpus,5,0.9099999999999999,symmetric,0.3867058677315742
75% Corpus,5,symmetric,0.01,0.3906081292628393
75% Corpus,5,symmetric,0.31,0.37429980457547707
75% Corpus,5,symmetric,0.61,0.3644141041811556
75% Corpus,5,symmetric,0.9099999999999999,0.3682072280999312
75% Corpus,5,symmetric,symmetric,0.3755490670518193
75% Corpus,5,asymmetric,0.01,0.3910424680337014
75% Corpus,5,asymmetric,0.31,0.31557529337283824
75% Corpus,5,asymmetric,0.61,0.38448280521236644
75% Corpus,5,asymmetric,0.9099999999999999,0.43883634666847887
75% Corpus,5,asymmetric,symmetric,0.29091438017586435
75% Corpus,6,0.01,0.01,0.4274966236428083
75% Corpus,6,0.01,0.31,0.4112969521516763
75% Corpus,6,0.01,0.61,0.37466554772005495
75% Corpus,6,0.01,0.9099999999999999,0.37183906034666897
75% Corpus,6,0.01,symmetric,0.42398241710136736
75% Corpus,6,0.31,0.01,0.4245058804530523
75% Corpus,6,0.31,0.31,0.39684337777274914
75% Corpus,6,0.31,0.61,0.4097016270864873
75% Corpus,6,0.31,0.9099999999999999,0.5059586291734884
75% Corpus,6,0.31,symmetric,0.4105867817321937
75% Corpus,6,0.61,0.01,0.43804735211691836
75% Corpus,6,0.61,0.31,0.39159004156709915
75% Corpus,6,0.61,0.61,0.4020964090811803
75% Corpus,6,0.61,0.9099999999999999,0.42734405731743946
75% Corpus,6,0.61,symmetric,0.3920150379864264
75% Corpus,6,0.9099999999999999,0.01,0.4212329181092795
75% Corpus,6,0.9099999999999999,0.31,0.40520551382641745
75% Corpus,6,0.9099999999999999,0.61,0.37994223685681777
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.37747264516611384
75% Corpus,6,0.9099999999999999,symmetric,0.3974554314312955
75% Corpus,6,symmetric,0.01,0.40916864256853286
75% Corpus,6,symmetric,0.31,0.3973544634842158
75% Corpus,6,symmetric,0.61,0.4128347787519364
75% Corpus,6,symmetric,0.9099999999999999,0.42896053390752337
75% Corpus,6,symmetric,symmetric,0.4294438223395334
75% Corpus,6,asymmetric,0.01,0.4283954749158716
75% Corpus,6,asymmetric,0.31,0.3637244595056688
75% Corpus,6,asymmetric,0.61,0.4318766532214226
75% Corpus,6,asymmetric,0.9099999999999999,0.41258743960349453
75% Corpus,6,asymmetric,symmetric,0.3805779889898462
75% Corpus,7,0.01,0.01,0.4097796159536132
75% Corpus,7,0.01,0.31,0.38992466839733014
75% Corpus,7,0.01,0.61,0.44678602454154354
75% Corpus,7,0.01,0.9099999999999999,0.5041870800023744
75% Corpus,7,0.01,symmetric,0.39329142091409514
75% Corpus,7,0.31,0.01,0.4232468075348025
75% Corpus,7,0.31,0.31,0.37308702495533935
75% Corpus,7,0.31,0.61,0.41682197902439794
75% Corpus,7,0.31,0.9099999999999999,0.44301689637861996
75% Corpus,7,0.31,symmetric,0.43079969347724895
75% Corpus,7,0.61,0.01,0.40154761537779154
75% Corpus,7,0.61,0.31,0.3927644452826923
75% Corpus,7,0.61,0.61,0.3955703830822102
75% Corpus,7,0.61,0.9099999999999999,0.4362738056264827
75% Corpus,7,0.61,symmetric,0.37532454888395783
75% Corpus,7,0.9099999999999999,0.01,0.41139629822132867
75% Corpus,7,0.9099999999999999,0.31,0.37621479084822057
75% Corpus,7,0.9099999999999999,0.61,0.3857819066754347
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.349719058587708
75% Corpus,7,0.9099999999999999,symmetric,0.3887949444111161
75% Corpus,7,symmetric,0.01,0.41647457014280004
75% Corpus,7,symmetric,0.31,0.42718413514978576
75% Corpus,7,symmetric,0.61,0.4794969325028772
75% Corpus,7,symmetric,0.9099999999999999,0.5005861070258729
75% Corpus,7,symmetric,symmetric,0.4164436625047899
75% Corpus,7,asymmetric,0.01,0.4234949468634019
75% Corpus,7,asymmetric,0.31,0.3546840071193166
75% Corpus,7,asymmetric,0.61,0.4055665548377759
75% Corpus,7,asymmetric,0.9099999999999999,0.43434202106423925
75% Corpus,7,asymmetric,symmetric,0.4131504850559828
75% Corpus,8,0.01,0.01,0.39823142763926733
