Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.31,0.01,0.2448614243486163
75% Corpus,4,0.31,0.31,0.2755429548005697
75% Corpus,4,0.31,0.61,0.28664534753969106
75% Corpus,4,0.31,0.9099999999999999,0.27789045785833133
75% Corpus,4,0.31,symmetric,0.27582448328619436
75% Corpus,4,0.61,0.01,0.24272170127931628
75% Corpus,4,0.61,0.31,0.2450781922792464
75% Corpus,4,0.61,0.61,0.280279674942398
75% Corpus,4,0.61,0.9099999999999999,0.2941781934643987
75% Corpus,4,0.61,symmetric,0.24947847687085545
75% Corpus,4,0.9099999999999999,0.01,0.24473987250541948
75% Corpus,4,0.9099999999999999,0.31,0.29080414887898376
75% Corpus,4,0.9099999999999999,0.61,0.32454318302510743
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.31768830707113493
75% Corpus,4,0.9099999999999999,symmetric,0.29436863877899616
75% Corpus,4,symmetric,0.01,0.2643922905436852
75% Corpus,4,symmetric,0.31,0.27658929826564627
75% Corpus,4,symmetric,0.61,0.2829004197847643
75% Corpus,4,symmetric,0.9099999999999999,0.2796056377733655
75% Corpus,4,symmetric,symmetric,0.27498956146934567
75% Corpus,4,asymmetric,0.01,0.2501853511623541
75% Corpus,4,asymmetric,0.31,0.2473322675729002
75% Corpus,4,asymmetric,0.61,0.3605418403652094
75% Corpus,4,asymmetric,0.9099999999999999,0.46287804990972975
75% Corpus,4,asymmetric,symmetric,0.24613266553756719
75% Corpus,5,0.01,0.01,0.27660924426230005
75% Corpus,5,0.01,0.31,0.27620089657582236
75% Corpus,5,0.01,0.61,0.2739283558944712
75% Corpus,5,0.01,0.9099999999999999,0.2778286458225328
75% Corpus,5,0.01,symmetric,0.279059004264893
75% Corpus,5,0.31,0.01,0.27072513177911406
75% Corpus,5,0.31,0.31,0.2727044588990197
75% Corpus,5,0.31,0.61,0.2705597293335441
75% Corpus,5,0.31,0.9099999999999999,0.2616951620830486
75% Corpus,5,0.31,symmetric,0.27817644140038594
75% Corpus,5,0.61,0.01,0.2730188817971682
75% Corpus,5,0.61,0.31,0.2833838929778887
75% Corpus,5,0.61,0.61,0.27226403411835914
75% Corpus,5,0.61,0.9099999999999999,0.2897934499764336
75% Corpus,5,0.61,symmetric,0.2855394310409863
75% Corpus,5,0.9099999999999999,0.01,0.2844178117183439
75% Corpus,5,0.9099999999999999,0.31,0.29741952609231836
75% Corpus,5,0.9099999999999999,0.61,0.29543851956710404
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3158772853912262
75% Corpus,5,0.9099999999999999,symmetric,0.2895142484331062
75% Corpus,5,symmetric,0.01,0.2813509001473171
75% Corpus,5,symmetric,0.31,0.2731716245806941
75% Corpus,5,symmetric,0.61,0.26658333315671695
75% Corpus,5,symmetric,0.9099999999999999,0.24913579381514314
75% Corpus,5,symmetric,symmetric,0.26909941474736493
75% Corpus,5,asymmetric,0.01,0.2540151028861153
75% Corpus,5,asymmetric,0.31,0.25784701246983716
75% Corpus,5,asymmetric,0.61,0.3254996408864995
75% Corpus,5,asymmetric,0.9099999999999999,0.4245363766435214
75% Corpus,5,asymmetric,symmetric,0.2619902612811303
75% Corpus,6,0.01,0.01,0.25473477621322976
75% Corpus,6,0.01,0.31,0.2606759500096796
75% Corpus,6,0.01,0.61,0.2716011982604551
75% Corpus,6,0.01,0.9099999999999999,0.2554595211505756
75% Corpus,6,0.01,symmetric,0.2455443299961189
75% Corpus,6,0.31,0.01,0.2556864582505781
75% Corpus,6,0.31,0.31,0.27811994162802695
75% Corpus,6,0.31,0.61,0.28113070100128607
75% Corpus,6,0.31,0.9099999999999999,0.25857684427770966
75% Corpus,6,0.31,symmetric,0.2725470669690813
75% Corpus,6,0.61,0.01,0.2747249872467662
75% Corpus,6,0.61,0.31,0.28599338805666213
75% Corpus,6,0.61,0.61,0.2982644358408026
75% Corpus,6,0.61,0.9099999999999999,0.32138603333977794
