Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,4,0.61,0.31,0.3692028462836282,-6.963368011033002
75% Corpus,4,0.61,0.61,0.37401868743174316,-6.941947062554228
75% Corpus,4,0.61,0.9099999999999999,0.3865223021313142,-6.950658610309522
75% Corpus,4,0.61,symmetric,0.3765309260542013,-6.987436839170063
75% Corpus,4,0.9099999999999999,0.01,0.38398697940939586,-8.313237178013292
75% Corpus,4,0.9099999999999999,0.31,0.4006614377341887,-7.005050938835054
75% Corpus,4,0.9099999999999999,0.61,0.3724455277573612,-6.974416715782327
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.382270829938107,-6.971486496187977
75% Corpus,4,0.9099999999999999,symmetric,0.382814826837618,-7.025805207313746
75% Corpus,4,symmetric,0.01,0.35256795092042975,-8.148129830521693
75% Corpus,4,symmetric,0.31,0.3529692947564075,-6.9031744195641656
75% Corpus,4,symmetric,0.61,0.3753652826954288,-6.889637893567152
75% Corpus,4,symmetric,0.9099999999999999,0.3611730588433729,-6.889355677049699
75% Corpus,4,symmetric,symmetric,0.35408937786213956,-6.910275338885443
75% Corpus,4,asymmetric,0.01,0.3920172953417315,-8.084896314199948
75% Corpus,4,asymmetric,0.31,0.4029250156130783,-6.832694652582412
75% Corpus,4,asymmetric,0.61,0.36336188295750205,-6.779489114000854
75% Corpus,4,asymmetric,0.9099999999999999,0.4422142571328545,-6.763285244668655
75% Corpus,4,asymmetric,symmetric,0.3732163268458283,-6.8675396397692845
75% Corpus,5,0.01,0.01,0.3894384632643921,-7.989303029579498
75% Corpus,5,0.01,0.31,0.38245949865976314,-6.79981667981371
75% Corpus,5,0.01,0.61,0.38131455293221955,-6.7932365245221
75% Corpus,5,0.01,0.9099999999999999,0.40650479226954933,-6.800466641258845
75% Corpus,5,0.01,symmetric,0.4150690981875571,-6.843054358425624
75% Corpus,5,0.31,0.01,0.3477514537651244,-8.151253959034726
